Health,sample,Type,Host,Family,Genus,Species,rpm,coverage,lg_rpm_1
Healthy,UN_MBO191018,Oral,Manis javanica,Circoviridae,Circovirus,Pangolin circovirus A2,5.76583,100,0.830321081
Healthy,UN_MBO191020,Oral,Manis javanica,Parvoviridae,unclassified Parvoviridae genus,Pangolin densovirus A1,7.99847,99.962,0.954168673
Healthy,UN_MBO191022,Oral,Manis javanica,Circoviridae,Circovirus,Pangolin circovirus A3,1.11027,99.5156,0.324338025
Healthy,UN_MBO191023,Oral,Manis javanica,Circoviridae,Circovirus,Pangolin circovirus T3,5.41585,99.5826,0.807254202
Healthy,UN_MBO191023,Oral,Manis javanica,Circoviridae,Circovirus,Pangolin circovirus B3,7.46853,100,0.92780803
Healthy,UN_MBO191024,Oral,Manis javanica,Parvoviridae,unclassified Parvoviridae genus,Densovirinae sp,8.91133,100,0.996131936
Healthy,UN_MBO191025,Oral,Manis javanica,Parvoviridae,unclassified Parvoviridae genus,Pangolin densovirus A1,40.5686,100,1.618765398
Healthy,UN_MBO191026,Oral,Manis javanica,Parvoviridae,unclassified Parvoviridae genus,Pangolin densovirus A1,14.7957,99.9443,1.198538877
Healthy,UN_MBO191028,Oral,Manis javanica,Parvoviridae,unclassified Parvoviridae genus,Pangolin densovirus A1,17.7051,99.5324,1.271960034
Healthy,UN_MBO191031,Oral,Manis javanica,Parvoviridae,unclassified Parvoviridae genus,Pangolin densovirus A1,5.20999,98.9903,0.793090901
Healthy,UN_MBO191033,Oral,Manis javanica,Parvoviridae,unclassified Parvoviridae genus,Pangolin densovirus A1,10.2391,99.6821,1.050731535
Healthy,UN_MBO191040,Oral,Manis javanica,Parvoviridae,unclassified Parvoviridae genus,Pangolin densovirus A1,4.80062,99.7195,0.763474416
Healthy,UN_MBO191042,Oral,Manis javanica,Parvoviridae,unclassified Parvoviridae genus,Pangolin densovirus A1,5.18434,99.1023,0.791293358
Healthy,UN_MBO191043,Oral,Manis pentadactyla,Parvoviridae,unclassified Parvoviridae genus,Densovirinae sp,80.9244,100,1.913413269
Healthy,UN_MBO191045,Oral,Manis pentadactyla,Parvoviridae,unclassified Parvoviridae genus,Pangolin densovirus A1,1.02974,97.4856,0.30744041
Healthy,UN_MBO191048,Oral,Manis javanica,Parvoviridae,unclassified Parvoviridae genus,Pangolin densovirus A1,1.60259,99.2999,0.415405757
Healthy,UN_MBO191051,Oral,Manis javanica,Parvoviridae,unclassified Parvoviridae genus,Pangolin densovirus A1,3.8627,98.84,0.686877477
Healthy,UN_MBO191052,Oral,Manis javanica,Papillomaviridae,unclassified Papillomaviridae genus,Manis pentadactyla papillomavirus 1,1.09122,100,0.320399724
Healthy,UN_MBO191052,Oral,Manis javanica,Parvoviridae,unclassified Parvoviridae genus,Pangolin densovirus A1,24.8439,99.5324,1.412358052
Healthy,UN_MBO191053,Oral,Manis javanica,Parvoviridae,unclassified Parvoviridae genus,Pangolin densovirus A1,6.70596,99.6129,0.88682675
Healthy,UN_MBO191053,Oral,Manis javanica,unclassified Picornavirales family,unclassified Picornavirales genus,Picornavirales sp,5.55082,100,0.816295666
Healthy,UN_MBO191054,Oral,Manis javanica,Flaviviridae,Pestivirus,Pangolin pestivirus T7,240.472,100,2.382866779
Healthy,UN_MBO191055,Oral,Manis javanica,Parvoviridae,unclassified Parvoviridae genus,Pangolin parvovirus,1.93436,99.4542,0.467513394
Healthy,UN_MBO191059,Oral,Manis javanica,Flaviviridae,Pestivirus,Pestivirus P179T,36.5649,99.9583,1.574782237
Healthy,UN_MBO191061,Oral,Manis javanica,Parvoviridae,unclassified Parvoviridae genus,Pangolin densovirus A1,2.91111,99.5419,0.592300031
Healthy,UN_MBA191062,Anal,Manis javanica,Parvoviridae,unclassified Parvoviridae genus,Pangolin densovirus A1,2.69901,98.5741,0.568085505
Healthy,UN_MBO191064,Oral,Manis javanica,Parvoviridae,unclassified Parvoviridae genus,Pangolin densovirus A1,3.12551,99.9618,0.615477644
Healthy,UN_MBO191065,Oral,Manis javanica,Parvoviridae,unclassified Parvoviridae genus,Pangolin densovirus A1,1.15744,96.2466,0.333938727
Healthy,UN_MBO191068,Oral,Manis javanica,Flaviviridae,Pestivirus,Pangolin pestivirus T7,60.905,100,1.791725728
Healthy,UN_MBO191068,Oral,Manis javanica,Parvoviridae,unclassified Parvoviridae genus,Pangolin densovirus A1,1.20164,89.9412,0.342746307
Healthy,UN_MBO191071,Oral,Manis javanica,Flaviviridae,Pestivirus,Pangolin pestivirus,27.731,99.9835,1.458350742
Healthy,UN_MBO191073,Oral,Manis javanica,Parvoviridae,unclassified Parvoviridae genus,Pangolin densovirus A1,1.1662,92.6096,0.335698551
Healthy,UN_MBO191076,Oral,Manis javanica,Papillomaviridae,unclassified Papillomaviridae genus,Manis javanica papillomavirus 1,2.61756,99.361,0.558415743
Healthy,UN_MBA191018,Anal,Manis javanica,,,,,,
Healthy,UN_MBO191038,Oral,Manis javanica,,,,,,
Healthy,UN_MBO191062,Oral,Manis javanica,,,,,,
Unhealthy,MJ_Lung22,Lung,Manis javanica,,,,,,
Unhealthy,MJ_Mix5,MMM,Manis javanica,,,,,,
Unhealthy,MP_Mix4,MMM,Manis pentadactyla,,,,,,
Unhealthy,MP_Muscle1,Muscle,Manis pentadactyla,,,,,,
Healthy,UN_MBA191000,Anal,Manis javanica,,,,,,
Healthy,UN_MBA191006,Anal,Manis javanica,,,,,,
Healthy,UN_MBA191008,Anal,Manis javanica,,,,,,
Healthy,UN_MBA191011,Anal,Manis javanica,,,,,,
Healthy,UN_MBA191012,Anal,Manis javanica,,,,,,
Healthy,UN_MBA191014,Anal,Manis javanica,,,,,,
Healthy,UN_MBA191020,Anal,Manis javanica,,,,,,
Healthy,UN_MBA191022,Anal,Manis javanica,,,,,,
Healthy,UN_MBA191029,Anal,Manis javanica,,,,,,
Healthy,UN_MBA191030,Anal,Manis javanica,,,,,,
Healthy,UN_MBA191032,Anal,Manis javanica,,,,,,
Healthy,UN_MBA191033,Anal,Manis javanica,,,,,,
Healthy,UN_MBA191034,Anal,Manis javanica,,,,,,
Healthy,UN_MBA191035,Anal,Manis javanica,,,,,,
Healthy,UN_MBA191036,Anal,Manis javanica,,,,,,
Healthy,UN_MBA191039,Anal,Manis javanica,,,,,,
Healthy,UN_MBA191040,Anal,Manis javanica,,,,,,
Healthy,UN_MBA191041,Anal,Manis javanica,,,,,,
Healthy,UN_MBA191042,Anal,Manis javanica,,,,,,
Healthy,UN_MBA191043,Anal,Manis pentadactyla,,,,,,
Healthy,UN_MBA191044,Anal,Manis pentadactyla,,,,,,
Healthy,UN_MBA191045,Anal,Manis pentadactyla,,,,,,
Healthy,UN_MBA191046,Anal,Manis javanica,,,,,,
Healthy,UN_MBA191047,Anal,Manis javanica,,,,,,
Healthy,UN_MBA191048,Anal,Manis javanica,,,,,,
Healthy,UN_MBA191049,Anal,Manis javanica,,,,,,
Healthy,UN_MBA191050,Anal,Manis javanica,,,,,,
Healthy,UN_MBA191051,Anal,Manis javanica,,,,,,
Healthy,UN_MBA191052,Anal,Manis javanica,,,,,,
Healthy,UN_MBA191055,Anal,Manis javanica,,,,,,
Healthy,UN_MBA191056,Anal,Manis javanica,,,,,,
Healthy,UN_MBA191057,Anal,Manis javanica,,,,,,
Healthy,UN_MBA191058,Anal,Manis javanica,,,,,,
Healthy,UN_MBA191060,Anal,Manis javanica,,,,,,
Healthy,UN_MBA191061,Anal,Manis javanica,,,,,,
Healthy,UN_MBA191063,Anal,Manis javanica,,,,,,
Healthy,UN_MBA191064,Anal,Manis javanica,,,,,,
Healthy,UN_MBA191065,Anal,Manis javanica,,,,,,
Healthy,UN_MBA191066,Anal,Manis javanica,,,,,,
Healthy,UN_MBA191067,Anal,Manis javanica,,,,,,
Healthy,UN_MBA191069,Anal,Manis javanica,,,,,,
Healthy,UN_MBA191070,Anal,Manis javanica,,,,,,
Healthy,UN_MBA191072,Anal,Manis javanica,,,,,,
Healthy,UN_MBA191073,Anal,Manis javanica,,,,,,
Healthy,UN_MBA191075,Anal,Manis javanica,,,,,,
